timestamp,ch1 - AF7,ch2 - AF8,ch3 - TP9,ch4 - TP10
1731733068.4788897,-544.4957744,-472.0370828,218.2035279,-118.0396574
1731733068.4931459,-728.7812147,-400.4292183,645.9330809,487.5670173
1731733068.4938004,-469.5743586,-862.7556508,946.7154699,218.8813848
1731733068.5073104,-157.8658520,-773.4431000,774.3705952,521.6225463
1731733068.5229311,-156.8205500,-1193.4927684,956.7571012,-166.0599728
1731733068.5237801,117.4375335,-803.0733924,648.3789755,-739.0621997
1731733068.5373464,251.0015156,-405.6089797,638.7655627,-495.8639854
1731733068.5529864,507.6932889,-890.6440848,926.9108296,-764.8039311
1731733068.5536931,821.2362165,-1730.4068307,778.8397756,-459.6037854
1731733068.5679357,813.2926690,-2201.3883267,928.1552814,-1148.3858351
1731733068.5832248,1084.5027340,-1881.7315977,1098.2150772,-1729.0417672
1731733068.5839984,1235.0122028,-2360.3256600,1632.4794203,-1476.3311174
1731733068.5973749,1472.0732413,-2951.3626195,1362.4118948,-1752.6760650
1731733068.6129851,1810.3369075,-3633.0566238,809.0319880,-1437.8138877
1731733068.6136987,1799.6632331,-4134.1013056,946.4527419,-2127.6057104
1731733068.6274669,2058.5989464,-3820.3854077,1081.5631726,-2706.5637280
1731733068.6431096,2242.2794578,-3718.9163120,729.8657857,-2441.0775799
1731733068.6439996,2447.2689843,-3935.0311058,379.5007382,-2736.3987799
1731733068.6574993,2795.1236240,-4641.3486115,-171.7866946,-2415.4648750
1731733068.6730480,2776.6242088,-5149.5449169,-40.9706040,-3111.5808686
1731733068.6736765,3045.0443084,-4818.2692537,114.4175643,-3685.9649885
1731733068.6874781,3219.1076672,-4713.2883920,-264.9775217,-3425.8063279
1731733068.7036936,3435.8909681,-4887.9463948,-575.0582369,-3708.8999250
1731733068.7038147,3791.3600441,-5060.6989186,-1116.6069702,-3386.5916069
1731733068.7174411,3780.2076624,-5083.0943745,-975.1190750,-4081.5912403
1731733068.7330167,4028.9577582,-4809.5814661,-866.6479517,-4662.3574995
1731733068.7337401,4203.3539680,-4697.5789423,-1234.1912947,-4398.0138908
1731733068.7473092,4420.9880962,-4911.5582532,-1567.2088163,-4691.2893655
1731733068.7631321,4766.7222126,-5573.1390756,-2109.4980498,-4370.2694430
1731733068.7637329,4745.1878687,-6091.2161967,-1972.1595737,-5066.3891764
1731733068.7777884,5007.8990110,-5779.2141080,-1845.1516362,-5643.7035079
1731733068.7929771,5192.9389761,-5637.5092986,-2199.4763028,-5382.5519039
1731733068.7937090,5405.6887950,-5836.4878708,-2526.1191650,-5665.6286714
1731733068.8073621,5748.8143312,-6014.5248733,-3089.6510302,-5350.4149436
1731733068.8229263,5738.6305836,-6035.3140421,-2938.2224810,-6041.8897212
1731733068.8236527,5988.3885824,-5763.2279056,-2823.8741049,-6621.8818211
1731733068.8372748,6177.4900789,-5603.0087215,-3168.7985330,-6357.2689397
1731733068.8530352,6385.9633221,-5878.5393060,-3523.1559237,-6649.7945645
1731733068.8536851,6731.1495432,-6009.4816182,-4063.4312211,-6326.1137031
1731733068.8672335,6716.7864574,-6067.2247385,-3923.9460424,-7023.5667109
1731733068.8829961,6966.0040407,-5811.2678555,-3821.7598209,-7604.0075988
1731733068.8837109,7164.6740712,-5602.8946546,-4124.8347685,-8314.8672129
1731733068.8973837,7365.1925472,-5918.0588288,-4508.8289964,-8609.1094517
1731733068.9131002,7710.8312962,-6030.0510679,-5045.7757828,-8286.6702372
1731733068.9137585,7692.8966059,-6096.8709255,-4923.1725125,-8985.0170810
1731733068.9273725,7960.7033620,-5781.3383711,-4775.9148867,-9556.7458720
1731733068.9430866,8139.0264667,-5633.8685060,-5132.4928431,-9298.8648104
1731733068.9438300,8353.9267280,-5860.7878708,-5451.7269634,-9582.3641867
1731733068.9572611,8675.2673470,-6055.2598636,-6059.1951733,-9273.3605627
1731733068.9729738,8679.8225451,-6076.2603368,-5891.7972513,-9966.9483838
1731733068.9738796,8939.9120176,-5780.2781095,-5757.8125305,-10533.3609070
1731733068.9872651,9114.3456264,-5620.7956857,-6113.7135649,-10280.1079717
1731733069.0029864,9346.4120285,-5857.1545580,-6426.0737491,-10557.9264399
1731733069.0037231,9651.3475763,-6064.1421260,-7059.2949101,-10258.6577755
1731733069.0173423,9662.0081612,-6066.8563584,-6866.4750181,-10945.0257197
1731733069.0330906,9915.0236129,-5789.6624535,-6739.8410707,-11512.7116788
1731733069.0337999,10100.5123659,-5602.8123768,-7080.7600659,-11262.4357039
1731733069.0473287,10314.9357900,-5887.7600293,-7432.4696075,-11541.8436296
1731733069.0630774,10643.7805182,-6030.4605870,-8011.1218882,-11232.8100864
1731733069.0638039,10637.6078133,-6076.4959505,-7851.6170251,-11926.7943369
1731733069.0773025,10885.4622031,-5831.3361587,-7757.9820849,-12501.3617119
1731733069.0930128,11092.8966891,-5562.6439813,-8033.5538082,-12233.3960102
1731733069.0937045,11278.2984895,-5943.6285248,-8445.5056582,-12530.2094302
1731733069.1073840,11629.7415632,-5983.5080130,-8965.2619945,-12209.9543172
1731733069.1230772,11617.1567999,-5114.1299343,-8842.2809943,-12904.0301953
1731733069.1238019,11854.7320746,-4895.8749827,-8770.4683703,-13489.1216488
1731733069.1373000,12077.1280304,-4550.1595658,-8501.7378590,-14191.3084350
1731733069.1530757,12254.1075761,-4004.8961769,-8458.6420568,-14496.6974456
1731733069.1537457,12616.5964443,-4000.9234682,-8958.0103285,-14167.6797470
1731733069.1673701,12595.8493493,-3626.3799674,-8829.4063887,-14868.9044439
1731733069.1829815,12834.7111497,-3922.4987011,-8772.6262926,-15453.7528039
1731733069.1836724,13064.2727538,-3544.9567355,-8484.9270087,-16147.8445766
1731733069.1974094,13233.1647658,-3018.9463516,-8453.9316528,-16452.8203283
1731733069.2130237,13598.3295325,-3032.7755666,-8959.7736913,-16131.1982819
1731733069.2138095,13577.3692632,-2651.5282952,-8832.7180701,-16828.0342061
1731733069.2273040,13808.1650343,-2956.9874290,-8786.6490475,-17414.3037281
1731733069.2429869,14046.3480427,-2574.6621314,-8480.6392134,-18108.5151776
1731733069.2437568,14209.3758916,-2046.6995197,-8457.1273974,-18417.9432802
1731733069.2574201,14577.0669607,-2063.1728440,-8968.2688740,-18091.9586405
1731733069.2730479,14563.1863220,-1681.9928908,-8830.8612098,-18788.2261000
1731733069.2737267,14792.1364525,-1980.1592197,-8775.8369967,-19371.2568686
1731733069.2872913,15024.3412309,-1607.7465269,-8491.4867932,-20071.6503727
1731733069.3029301,15196.0774369,-1073.3662469,-8453.6156313,-20373.1798066
1731733069.3036847,15555.6342235,-1083.5079206,-8960.6488279,-20054.9741588
1731733069.3173354,15538.3184867,-701.7651124,-8831.3978854,-20749.2127225
1731733069.3331816,15773.8629958,-986.4621916,-8772.0653076,-21332.4791049
1731733069.3338642,16000.0568200,-624.5081291,-8498.2148732,-22037.2239826
1731733069.3476000,16178.1358963,-1054.2310488,-8442.5642269,-22336.9638744
1731733069.3630917,16531.4956687,-1077.4025339,-8964.8936143,-22013.4961873
1731733069.3638947,16521.0706976,-683.7013956,-9307.8452452,-22709.7056783
1731733069.3773785,16751.3195083,-996.8553736,-9768.4176646,-23296.3099213
1731733069.3932941,16984.9482536,-629.4111379,-9484.4321014,-23995.0709591
1731733069.3939977,17166.6176339,-1048.4772127,-9420.4134289,-24292.8754527
1731733069.4076660,17514.9865098,-1079.6221645,-9949.0651172,-23977.6168460
1731733069.4232235,17507.8040319,-679.4902683,-10281.2570559,-24667.6648519
1731733069.4239552,17732.2185987,-994.9592443,-10742.7364011,-25257.2086563
1731733069.4375710,17965.7949854,-629.9908224,-10465.2844431,-25955.3526105
1731733069.4534104,18144.0292676,-1044.8326802,-10399.2032158,-26254.5446070
1731733069.4538653,18496.9982205,-1081.4416259,-10934.1884247,-25935.4881319
1731733069.4682188,-970.7265625,-2315.1177494,-2795.0329314,-385.3518116
1731733069.4688327,-964.6501601,-2745.3053516,-3443.7354082,-774.3892947
1731733069.4824471,-657.4912418,-2764.7472215,-3399.3147465,-1518.8715444
1731733069.4979403,-488.5926849,-2575.6466601,-3063.3614035,-1959.1783809
1731733069.4988072,-329.0420080,-3020.3665786,-3394.1938885,-1899.0538793
1731733069.5124843,54.6174990,-2558.8273950,-3795.6553192,-2119.1002429
1731733069.5284100,18.1114005,-2748.5085759,-3445.8671512,-2733.7490608
1731733069.5288882,321.4387913,-2769.7867367,-3398.2170859,-3478.5267626
1731733069.5423620,488.1588565,-2585.2170641,-3072.0080522,-3920.5034645
1731733069.5581260,647.3056242,-3038.7163977,-3406.9562971,-3862.3031413
1731733069.5587904,1041.9922262,-3037.2643816,-3791.4498017,-4076.4890818
1731733069.5724068,999.0591096,-3731.7638033,-4424.6027095,-4694.5991770
1731733069.5880356,1308.7555501,-3742.9274047,-4373.9064957,-5441.7479754
1731733069.5888052,1463.9230643,-3567.0249502,-4051.3401245,-5883.5937807
1731733069.6026993,1624.1450533,-4001.8603131,-4370.5508704,-5819.6115723
1731733069.6186149,2011.9053605,-4025.2711519,-4786.3305081,-6041.2249540
1731733069.6188772,1979.3130673,-4708.2685113,-4422.2147834,-6655.4904321
1731733069.6326172,2288.9515393,-4721.1992154,-4373.3473806,-7404.6512966
1731733069.6485584,2444.8109350,-4553.5114512,-4060.2990548,-7845.3209035
1731733069.6489699,2613.5355865,-4973.6658368,-4364.3875153,-7782.6177408
1731733069.6626563,2995.7701916,-5009.3603769,-4776.7357948,-8002.8978482
1731733069.6781938,2961.2593297,-5687.5332655,-4426.1753375,-8616.1329839
1731733069.6790111,3267.5543312,-5700.9651162,-4365.8451413,-9363.1546256
1731733069.6925609,3421.4801986,-5538.8498028,-4064.3362768,-9807.9773914
1731733069.7083380,3598.5523068,-5956.8743154,-4363.4226211,-9739.2492499
1731733069.7089837,3973.5202862,-5987.7481246,-4780.7580572,-9965.1784762
1731733069.7225020,3937.1974429,-6672.9950338,-4428.5632636,-10575.3375441
1731733069.7385895,4246.8078656,-6676.5011900,-4371.6831252,-11320.7697284
1731733069.7388508,4401.7154568,-6523.0680545,-4072.2742145,-11766.0356723
1731733069.7527015,4573.7162607,-6936.6121669,-4362.2258531,-11698.7343026
1731733069.7681632,4950.8589919,-6973.9354335,-4783.0281765,-11922.2064146
1731733069.7688663,4917.4831897,-7654.2905537,-4424.6307588,-12538.3455826
1731733069.7823639,5234.1863327,-7651.2518849,-4366.7988158,-13284.7594906
1731733069.7981720,5381.4794876,-7504.6627663,-4071.1129756,-13731.7139994
1731733069.7988589,5556.6760360,-7906.9703493,-4352.8817131,-13662.2229183
1731733069.8127396,5932.7753351,-7946.4272289,-4784.0641287,-13884.3224870
1731733069.8280511,5900.6636191,-8627.3695133,-5402.6482563,-14496.8732209
1731733069.8433814,6210.7209599,-8627.9735071,-5338.2640086,-15245.4712305
1731733069.8439724,6354.9436569,-8494.5955851,-5062.3584992,-15689.0280402
1731733069.8582268,6548.3815673,-8880.8776968,-5329.1638970,-15621.0908875
1731733069.8589032,6915.4246987,-8928.9008172,-5768.8770245,-15848.5067240
1731733069.8725879,6876.6690505,-9610.0057872,-6382.9564425,-16457.4129255
1731733069.8885105,7193.4993501,-9612.8088423,-6320.1167735,-17201.7119201
1731733069.8888719,7334.0195461,-9484.9996312,-6053.2880013,-17648.4626043
1731733069.9025147,7514.4893534,-9868.0448596,-6311.6337454,-17582.4515001
1731733069.9182076,7890.4371866,-9917.0852327,-6748.3456032,-17803.9751242
1731733069.9189601,7861.6203225,-10590.6935733,-7364.5081455,-18417.5655503
1731733069.9325695,8167.7320688,-10591.4172440,-7299.9668220,-19165.1182579
1731733069.9482937,8313.3048697,-10464.2643854,-7037.2145408,-19614.7056562
1731733069.9489045,8504.2052580,-10838.8275206,-6794.2369806,-19543.7017856
1731733069.9624529,8872.2207634,-10890.7663162,-6746.0231253,-19765.7209465
1731733069.9781413,8844.7483933,-11570.2276003,-7364.9157946,-20379.7601606
1731733069.9788451,9157.8668422,-11571.6487622,-7292.9545096,-21125.5569851
1731733069.9926713,9294.3161571,-11453.8662230,-7044.8570263,-21575.3594277
1731733070.0081160,9489.3809240,-11820.9738677,-6788.4737947,-21499.0916479
1731733070.0088708,9850.1615929,-11874.7807433,-6746.6009398,-21726.9300931
1731733070.0224173,9821.2400116,-12556.6598727,-6384.2130489,-22335.8755635
1731733070.0379820,10136.2714194,-12552.5572024,-6318.0916177,-23085.1710644
1731733070.0386524,10266.6452668,-12450.9590802,-6083.2558197,-23541.1667813
1731733070.0523205,10467.7855012,-12802.2637776,-5814.4187212,-23464.3324066
1731733070.0680771,10841.4912644,-12834.9888372,-5751.3705528,-23687.5408557
1731733070.0687487,10808.7288058,-13526.5159735,-5400.1986218,-24301.3762453
1731733070.0823257,11124.3735571,-13528.2765314,-5332.7476562,-25047.8817809
1731733070.0979879,11248.1782703,-13424.2811333,-5098.5869101,-25501.2072092
1731733070.0986626,11444.8811134,-13780.3168042,-4829.2355754,-25424.3485252
1731733070.1123583,11817.5789735,-13819.1210712,-4770.6210584,-25648.3610527
1731733070.1280899,11780.1098508,-14512.1329477,-4423.5929365,-26260.7565808
1731733070.1287909,12094.3297003,-14507.2009547,-4354.0868959,-27006.4393384
1731733070.1424766,12226.1658486,-14416.9702584,-4123.5968616,-27464.6341165
1731733070.1580653,12432.4783646,-14766.3507773,-3843.8916139,-27381.2549169
1731733070.1587822,12799.1998646,-14802.0322278,-3793.2243842,-27606.6904764
1731733070.1724412,12762.6432775,-14536.0196888,-3450.4055198,-28221.4271818
1731733070.1881721,13079.0696679,-14503.4030863,-3361.1303680,-28966.8013977
1731733070.1887839,13205.6082480,-14416.8374919,-3149.1547084,-29422.3875955
1731733070.2023344,13408.5324146,-14773.3873990,-2866.6819347,-29345.2521589
1731733070.2181191,13780.3065195,-14771.9241632,-2797.8331815,-29564.7487573
1731733070.2188537,13739.8623064,-14541.1134325,-2463.2981955,-30183.3618690
1731733070.2324741,14062.3959534,-14487.4449332,-2378.6044211,-30926.4528760
1731733070.2482100,14187.4647528,-14416.3737443,-2171.9095003,-31382.7945336
1731733070.2489216,14395.6359991,-14766.9903002,-1874.1424057,-31302.9121405
1731733070.2629211,14762.0283879,-14775.3443017,-1830.3565920,-31532.2353260
1731733070.2781856,14721.1540863,-14556.0599427,-1493.2392051,-32139.6530472
1731733070.2787929,15043.3567522,-14490.3583152,-1392.8565503,-32885.9631730
1731733070.2924831,15164.1396262,-14429.3661568,-1204.4740497,-33344.4356386
1731733070.3080697,15372.1089179,-14292.6466341,-902.2284249,-33263.7753463
1731733070.3088019,15742.0710412,-13788.2519369,-850.0764550,-33493.1602402
1731733070.3223495,15694.8071206,-13614.3456540,-528.4927425,-34108.9497275
1731733070.3379653,16022.9936264,-13508.7168546,-409.7172598,-34846.7141819
1731733070.3386431,16135.3224566,-13465.2068586,-241.4311116,-35309.0069553
1731733070.3523791,16358.3841145,-13319.8219877,74.7419006,-35224.6740813
1731733070.3682747,16731.5812513,-13759.6791013,147.2501460,-35450.0834614
1731733070.3687744,16676.0951606,-13614.3138649,453.3805918,-36069.9157806
1731733070.3824785,17013.8146714,-13486.6103060,579.4451395,-36810.1074301
1731733070.3980772,17113.8560603,-13446.3783322,747.0113570,-37268.7612808
1731733070.3988185,17330.7618429,-13300.9261432,1068.3716105,-37184.5780028
1731733070.4123187,17704.9762325,-12769.0282217,1118.6536304,-37411.1635815
1731733070.4280963,17659.0568059,-12629.7889414,1431.6131336,-38032.5404793
1731733070.4289060,17990.5905221,-12496.0865830,1560.7649687,-38768.9080811
1731733070.4424293,18097.8555278,-12467.8335088,1725.5430908,-39229.3944829
1731733070.4581432,18316.3283285,-12319.6324933,2049.5642831,-39145.7422706
1731733070.4588027,18685.8996323,-11782.3977346,2106.0526670,-39369.4668259
1731733070.4732521,852.5457239,2015.8098160,2569.2046824,342.5280872
